base_gene_src	base_id_src	base_gene_dest	base_id_dest	pathway
23291	ENTREZID	4193	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
2475	ENTREZID	7157	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
22800	ENTREZID	5290	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
10000	ENTREZID	2309	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
10000	ENTREZID	7248	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
7248	ENTREZID	6009	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
6009	ENTREZID	2475	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
23411	ENTREZID	2309	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
2309	ENTREZID	1026	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
22800	ENTREZID	5894	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
5594	ENTREZID	2113	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
2113	ENTREZID	1029	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
1019	ENTREZID	595	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
5594	ENTREZID	1432	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
1432	ENTREZID	1029	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
1017	ENTREZID	898	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
1869	ENTREZID	4605	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
1869	ENTREZID	2305	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
5606	ENTREZID	1432	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
1432	ENTREZID	7157	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
11200	ENTREZID	7157	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
23411	ENTREZID	7157	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
1017	ENTREZID	890	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
1017	ENTREZID	4605	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
